"location_name","location_code","hale.1990","hale.1995","hale.2000","hale.2005","hale.2010","hale.2015","le.1990","le.1995","le.2000","le.2005","le.2010","le.2015"
"El Salvador","SLV",67.7,70,71.9,73,74.1,74.9,59.29613,61.294173,62.909549,63.831828,64.775921,65.534654
"Equatorial Guinea","GNQ",48.9,48.5,52.9,56,58.6,61,43.313775,43.043272,46.691691,49.163342,51.299938,53.475185
"Eritrea","ERI",52.4,57.8,37.6,59.9,60.1,60.7,45.691184,50.246125,32.25696,52.186193,52.550359,53.279856
"Estonia","EST",70.1,67.7,70.4,72.5,76.4,77.8,61.407228,59.517417,61.858841,63.748924,67.008163,68.26405
"Ethiopia","ETH",45.2,49.2,52.1,56.1,62.1,65.2,39.756441,43.205493,45.704774,49.258907,54.589226,57.367088
"Federated States of Micronesia","FSM",64.3,65.4,66.6,67.6,68.3,68.9,56.870848,57.793039,58.753587,59.611759,60.275321,60.782866
"Fiji","FJI",65.1,64.5,64.2,64.8,65.2,65.8,56.766703,56.293895,55.816348,56.543493,56.946359,57.503684
"Finland","FIN",75.1,76.7,77.8,79,80,80.9,65.795948,67.120146,67.965974,68.792346,69.692834,70.496817
"France","FRA",77.2,78.2,79.1,80.4,81.4,81.8,67.644626,68.477643,69.24836,70.392178,71.219517,71.596149
"Gabon","GAB",59.5,59.8,59.3,60.1,63,65.9,50.96855,51.212515,50.726296,51.296315,53.430668,55.835111
"Georgia","GEO",69.9,70.7,71.4,71.8,72.2,72.9,61.996352,62.748866,63.391818,63.678358,63.993721,64.42925
"Germany","DEU",75.4,76.6,78.1,79.4,80.3,80.8,66.056739,67.041742,68.270648,69.364986,70.149262,70.596356
"Ghana","GHA",58,60,60,60.8,62.9,65.3,50.589061,52.250387,52.503935,53.319311,55.304523,57.639217
"Greece","GRC",77,77.8,78.6,79.6,80.4,81,67.756101,68.418451,69.070977,69.906206,70.681011,71.1291
"Greenland","GRL",64.6,66.5,67.8,69.1,70.8,72.1,56.879019,58.46837,59.480878,60.583725,62.066217,63.142525
"Grenada","GRD",69.9,70.7,70.5,70.3,71,71.5,61.004031,61.9547,61.746093,61.476641,62.035246,62.453578
"Guam","GUM",72.6,73,73.6,73.1,71.6,71.7,64.078245,64.370819,64.728878,63.972312,62.557893,62.723365
"Guatemala","GTM",64.6,66.9,68.8,69.8,71.2,72.6,56.50022,58.485544,59.991726,60.825689,62.058776,63.241493
"Guinea","GIN",52,53.4,54.2,56,57.9,59.1,44.870672,46.254269,47.102005,48.733407,50.460556,51.731796
"Guinea-Bissau","GNB",51.5,52.3,52.8,52.9,54.3,55.6,45.65586,46.495819,46.977791,47.279342,48.576319,49.784493
"Guyana","GUY",64.2,64.4,64.2,64.4,65.5,66.8,56.101029,56.369075,56.128393,56.416212,57.382986,58.483415
"Haiti","HTI",54.3,56.2,58.7,60,32.2,64.3,47.132184,48.822253,51.08017,52.3123,28.103296,55.722639
"Honduras","HND",70.3,70.1,70.5,71.2,72,73,61.479055,61.526654,61.970772,62.758576,63.546488,64.364307
"Hungary","HUN",69.5,70.1,71.8,73.1,74.6,76.7,61.2382,61.798215,63.231564,64.289902,65.639879,67.358924
"Iceland","ISL",78.3,78.9,80.5,81.7,82.8,83.3,68.719763,68.362809,70.484845,71.45186,72.510588,72.945544
"India","IND",58.2,59.9,61.5,63.6,65.4,67.2,50.000229,51.460298,52.885024,54.657054,56.441109,58.119558
"Indonesia","IDN",64,66.1,67.5,68.7,69.8,71.1,56.208837,58.168413,59.461558,60.498339,61.494048,62.588613
"Iran","IRN",66,69.9,71.4,71.9,73.7,74.6,56.970505,60.459729,61.764592,62.5148,64.042049,64.851646
"Iraq","IRQ",65.7,65.3,65.8,65.7,67.3,67.4,56.429951,56.089406,56.580382,56.565205,58.09911,57.978054
"Ireland","IRL",76.3,77.1,77.8,79.7,81,81.7,66.827011,67.516176,68.075728,69.643919,70.775902,71.31234
"Israel","ISR",76.7,77.4,78.6,79.7,81.6,82.1,67.40878,67.962546,68.870145,69.836312,71.367853,71.748661
"Italy","ITA",77,78.1,79.6,81.1,81.9,82.2,67.513141,68.418212,69.567443,70.933872,71.717176,71.895741
"Jamaica","JAM",74.8,74.7,74.4,75.4,74.8,75,65.418782,65.287131,64.965578,65.696442,65.247484,65.34274
"Japan","JPN",79,79.7,81,82,82.7,83.2,70.365819,70.910784,72.06877,72.924811,73.615469,73.931942
"Jordan","JOR",71.5,72.5,73.4,74.5,77.9,78.5,61.806222,62.757219,63.507839,64.416552,67.18221,67.672782
"Kazakhstan","KAZ",68,63.6,64.9,65.3,68.5,70.2,59.69202,56.016361,57.248698,57.605651,60.320304,61.736466
"Kenya","KEN",61.8,58.1,55.6,57.2,62.9,65.1,53.449197,50.067247,47.832301,49.216525,54.002684,56.246601
"Kiribati","KIR",58,58.9,59.8,60.8,61.9,63,50.742593,51.439172,52.090277,52.971286,54.032107,55.057048
"Kuwait","KWT",77.2,76.5,77.7,77.7,78.5,80.3,66.960505,66.572407,67.490603,67.639045,68.323928,69.824509
"Kyrgyzstan","KGZ",66,65.1,65.9,66.5,67.9,69.8,58.100434,57.494823,58.250461,58.883319,60.142534,61.709684
